num_topics,version,model,feature,accuracy,macro_f1,train_time_sec
4,raw,Naive Bayes,Bag of Words,0.6767068273092369,0.6102097506494335,0.47928571701049805
4,raw,Naive Bayes,TF-IDF,0.7911646586345381,0.7928130507244219,0.947321891784668
4,raw,Logistic Regression,Bag of Words,0.7476572958500669,0.750865427782388,1.736799955368042
4,raw,Logistic Regression,TF-IDF,0.7710843373493976,0.7731617459971399,0.9581451416015625
4,raw,Linear SVM,Bag of Words,0.7315930388219545,0.7362833631095536,0.5769679546356201
4,raw,Linear SVM,TF-IDF,0.7797858099062919,0.7821676129174829,0.8416390419006348
4,clean,Naive Bayes,Bag of Words,0.6767068273092369,0.6129883269783932,0.13426566123962402
4,clean,Naive Bayes,TF-IDF,0.7871485943775101,0.7902125091596939,0.4293031692504883
4,clean,Logistic Regression,Bag of Words,0.7637215528781793,0.7681277257696529,0.6486568450927734
4,clean,Logistic Regression,TF-IDF,0.7978580990629184,0.8008443559669355,0.7842450141906738
4,clean,Linear SVM,Bag of Words,0.7322623828647925,0.7374783049821547,0.27989888191223145
4,clean,Linear SVM,TF-IDF,0.7978580990629184,0.8006518262483124,0.45078587532043457
6,raw,Naive Bayes,Bag of Words,0.6495162708883025,0.5997116035033111,0.22655177116394043
6,raw,Naive Bayes,TF-IDF,0.7255936675461742,0.7274175300441272,0.9756417274475098
6,raw,Logistic Regression,Bag of Words,0.673702726473175,0.6776540898003907,4.108428001403809
6,raw,Logistic Regression,TF-IDF,0.7040457343887423,0.7077521121485809,1.5436968803405762
6,raw,Linear SVM,Bag of Words,0.6495162708883025,0.6549001341239985,0.8396191596984863
6,raw,Linear SVM,TF-IDF,0.7198768689533861,0.7233351451176909,0.9555039405822754
6,clean,Naive Bayes,Bag of Words,0.6556728232189973,0.6065180301845102,0.1151418685913086
6,clean,Naive Bayes,TF-IDF,0.7330694810905892,0.736324465358868,0.6872942447662354
6,clean,Logistic Regression,Bag of Words,0.6943711521547933,0.6985491327503649,1.592979907989502
6,clean,Logistic Regression,TF-IDF,0.7427440633245382,0.7467164973515651,1.141808032989502
6,clean,Linear SVM,Bag of Words,0.6578715919085312,0.6647251288762082,0.5895061492919922
6,clean,Linear SVM,TF-IDF,0.7387862796833773,0.7414233608722803,0.7747690677642822
10,raw,Naive Bayes,Bag of Words,0.6773022049286641,0.6472786675376989,0.30573272705078125
10,raw,Naive Bayes,TF-IDF,0.7335927367055771,0.7340874910369093,1.4397130012512207
10,raw,Logistic Regression,Bag of Words,0.674189364461738,0.6742405706315171,9.0847749710083
10,raw,Logistic Regression,TF-IDF,0.7221789883268482,0.7211116625851702,2.214655876159668
10,raw,Linear SVM,Bag of Words,0.6503242542153048,0.6513990139183983,1.4183759689331055
10,raw,Linear SVM,TF-IDF,0.7299610894941634,0.729870214656254,1.3508169651031494
10,clean,Naive Bayes,Bag of Words,0.6933852140077821,0.6633442314655926,0.1604290008544922
10,clean,Naive Bayes,TF-IDF,0.749935149156939,0.7506359843855808,0.7084159851074219
10,clean,Logistic Regression,Bag of Words,0.6993514915693904,0.699255014320757,2.3724308013916016
10,clean,Logistic Regression,TF-IDF,0.7517509727626459,0.7523163280484171,1.5071563720703125
10,clean,Linear SVM,Bag of Words,0.6607003891050583,0.6626875691557297,0.8466317653656006
10,clean,Linear SVM,TF-IDF,0.7491569390402075,0.748901107464754,1.374704122543335
12,raw,Naive Bayes,Bag of Words,0.6670967741935484,0.6453195575287726,0.3710970878601074
12,raw,Naive Bayes,TF-IDF,0.7298924731182795,0.7306912342903362,1.4682440757751465
12,raw,Logistic Regression,Bag of Words,0.6735483870967742,0.6746156139129303,11.234102010726929
12,raw,Logistic Regression,TF-IDF,0.7236559139784946,0.7241103554541389,2.7374300956726074
12,raw,Linear SVM,Bag of Words,0.6481720430107527,0.6493716976641948,1.8985280990600586
12,raw,Linear SVM,TF-IDF,0.7333333333333333,0.733620909825535,1.8347041606903076
12,clean,Naive Bayes,Bag of Words,0.7079569892473119,0.6816593769073304,0.20456790924072266
12,clean,Naive Bayes,TF-IDF,0.758494623655914,0.7585223939687723,0.9627430438995361
12,clean,Logistic Regression,Bag of Words,0.703010752688172,0.7042867007968269,3.7026450634002686
12,clean,Logistic Regression,TF-IDF,0.7582795698924731,0.7591225645496418,2.163134813308716
12,clean,Linear SVM,Bag of Words,0.6619354838709678,0.663702474797292,1.015221118927002
12,clean,Linear SVM,TF-IDF,0.7531182795698925,0.7539340282632246,1.5330679416656494
16,raw,Naive Bayes,Bag of Words,0.6066441983630236,0.5879590965794721,0.5009119510650635
16,raw,Naive Bayes,TF-IDF,0.656555930027283,0.6473903663284912,2.2661821842193604
16,raw,Logistic Regression,Bag of Words,0.6366554325148451,0.6367457752477443,25.812243223190308
16,raw,Logistic Regression,TF-IDF,0.692344727973038,0.6902202753200695,4.429476022720337
16,raw,Linear SVM,Bag of Words,0.6127427379232868,0.6124739025297266,3.460622787475586
16,raw,Linear SVM,TF-IDF,0.7096774193548387,0.7076595137897718,2.6524648666381836
16,clean,Naive Bayes,Bag of Words,0.6777403306050394,0.6544931738662905,0.2861950397491455
16,clean,Naive Bayes,TF-IDF,0.7162574225645963,0.7063546735671218,1.3327760696411133
16,clean,Logistic Regression,Bag of Words,0.6658642272508426,0.6656607621854931,6.5925047397613525
16,clean,Logistic Regression,TF-IDF,0.7276520622692987,0.7257400010835362,2.827854871749878
16,clean,Linear SVM,Bag of Words,0.6303964050714171,0.6308769087228785,1.801687240600586
16,clean,Linear SVM,TF-IDF,0.7276520622692987,0.7258753329892655,1.734823226928711
20,raw,Naive Bayes,Bag of Words,0.5431492299522039,0.5121480984265602,0.6332030296325684
20,raw,Naive Bayes,TF-IDF,0.6172331386086033,0.5869243492021784,2.628927230834961
20,raw,Logistic Regression,Bag of Words,0.5971853425385024,0.5887423279154257,48.04370903968811
20,raw,Logistic Regression,TF-IDF,0.6554699946893255,0.6399295413467407,5.202189922332764
20,raw,Linear SVM,Bag of Words,0.5720924057355284,0.5638518065211093,4.529764175415039
20,raw,Linear SVM,TF-IDF,0.6664896441848115,0.655113994683114,3.382312059402466
20,clean,Naive Bayes,Bag of Words,0.6351566648964418,0.5998488064728066,0.36232709884643555
20,clean,Naive Bayes,TF-IDF,0.6757833244822092,0.645849330105871,1.7433738708496094
20,clean,Logistic Regression,Bag of Words,0.6216144450345193,0.6131951306226165,10.763137102127075
20,clean,Logistic Regression,TF-IDF,0.6832182687201275,0.6700846586286949,4.5690319538116455
20,clean,Linear SVM,Bag of Words,0.5868295273499734,0.5794094286400974,2.3817298412323
20,clean,Linear SVM,TF-IDF,0.6872012745618693,0.6761262277199424,2.363372802734375
